OBJECTID,Entity,Layer,Color,Linetype,Elevation,LineWt,RefName,Shape_Leng,Shape_Area,Name,Gazette_Ty,Gazette_No,LGA,LCDA,Size,Date_1,Hyperlink,Shape_Le_1,Gazette__1
6889,LWPolyline,0,7,Continuous,0.0,25,,824.708165403,40823.0360068,,,,Ibeju-Lekki,Lekki,0.0,0000/00/00,,0.0,
6890,LWPolyline,0,4,Continuous,0.0,90,,2164.18267205,202787.47851,"PROPOSED Excision 
OJU OLUWERI",Excision,PLAN NO:-LS/D/BK102,Ibeju-Lekki,Lekki,0.0,0000/00/00,,0.0,
6891,LWPolyline,0,3,Continuous,0.0,70,,2268.63967222,301047.054858,ABA ONIRESI Village,Excision,LS/D/LA3740,Ibeju-Lekki,Lekki,0.0,0000/00/00,,0.0,
6892,LWPolyline,0,3,Continuous,0.0,70,,2097.92416389,251507.075114,"IGBO 
OLOMI",Excision,PLAN NO:-LS/D/LA3202,Ibeju-Lekki,Lekki,0.0,0000/00/00,,0.0,
6893,LWPolyline,0,3,Continuous,0.0,60,,1671.61562091,151624.264695,Ogunyelu Family,Excision,,Ibeju-Lekki,Lekki,0.0,0000/00/00,,0.0,
6894,LWPolyline,0,3,Continuous,0.0,70,,2090.00143218,100059.447686,,,PLAN NO:-LS/D/BK145,Ibeju-Lekki,Lekki,0.0,0000/00/00,,0.0,
6895,LWPolyline,0,4,Continuous,0.0,25,,1092.57075989,48637.9777765,,,,Ibeju-Lekki,Lekki,0.0,0000/00/00,,0.0,
6896,LWPolyline,0,4,Continuous,0.0,25,,830.436334676,9089.02592119,PROPOSED  Excision,Excision,,Ibeju-Lekki,Lekki,0.0,0000/00/00,,0.0,
6897,LWPolyline,0,1,Continuous,0.0,80,,8331.8034668,3343094.93256,"Resettlement Scheme
Parcel F",Scheme,,Ibeju-Lekki,Lekki,0.0,0000/00/00,,0.0,
6898,LWPolyline,0,1,Continuous,0.0,90,,670.237008219,26640.748182,"COMMUNITY SENIOR 
HIGH SCHOOL",Allocation,PLAN NO:-LS/D/BK,Ibeju-Lekki,Lekki,0.0,0000/00/00,,0.0,
6899,LWPolyline,0,1,Continuous,0.0,25,,3207.09183578,300488.873977,ILAGBO Village,Excision,PLAN NO:-LS/D/BK321,Ibeju-Lekki,Lekki,0.0,0000/00/00,,0.0,
